starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 19 17:55:53 2022	1642604153	28	55	83	52
Wed Jan 19 17:55:54 2022	1642604154	38	45	83	40
Wed Jan 19 17:56:01 2022	1642604161	26	57	83	49
Wed Jan 19 17:55:58 2022	1642604158	28	54	83	43
Wed Jan 19 17:55:57 2022	1642604157	13	70	83	60
Wed Jan 19 17:55:57 2022	1642604157	26	56	83	28
Wed Jan 19 17:56:00 2022	1642604160	40	43	83	35
Wed Jan 19 17:55:57 2022	1642604157	41	42	83	38
Wed Jan 19 17:55:57 2022	1642604157	29	54	83	46
Wed Jan 19 17:55:59 2022	1642604159	38	45	83	30
Wed Jan 19 17:56:06 2022	1642604166	36	47	83	32
Wed Jan 19 17:56:05 2022	1642604165	49	34	83	27
Wed Jan 19 17:56:05 2022	1642604165	31	52	83	40
Wed Jan 19 17:55:52 2022	1642604152	30	53	83	22
Wed Jan 19 17:56:00 2022	1642604160	40	43	83	34
Wed Jan 19 17:56:00 2022	1642604160	35	48	83	35
Wed Jan 19 17:56:03 2022	1642604163	45	38	83	12
Wed Jan 19 17:56:05 2022	1642604165	9	74	83	51
Wed Jan 19 17:55:55 2022	1642604155	36	47	83	44
Wed Jan 19 17:55:55 2022	1642604155	9	74	83	64
Wed Jan 19 17:55:53 2022	1642604153	28	55	83	44
Wed Jan 19 17:55:55 2022	1642604155	6	77	83	57
Wed Jan 19 17:56:02 2022	1642604162	20	63	83	34
Wed Jan 19 17:55:59 2022	1642604159	36	47	83	22
Wed Jan 19 17:55:55 2022	1642604155	10	73	83	64
Wed Jan 19 17:55:59 2022	1642604159	36	47	83	44
Wed Jan 19 17:56:05 2022	1642604165	56	27	83	26
Wed Jan 19 17:55:58 2022	1642604158	33	50	83	16
Wed Jan 19 17:56:00 2022	1642604160	45	38	83	36
Wed Jan 19 17:55:59 2022	1642604159	36	47	83	37
Wed Jan 19 17:56:01 2022	1642604161	27	56	83	50
Wed Jan 19 17:56:06 2022	1642604166	14	69	83	38
Wed Jan 19 17:56:00 2022	1642604160	30	53	83	48
Wed Jan 19 17:55:59 2022	1642604159	26	57	83	33
Wed Jan 19 17:56:04 2022	1642604164	37	46	83	29
Wed Jan 19 17:55:55 2022	1642604155	35	48	83	37
Wed Jan 19 17:56:02 2022	1642604162	23	60	83	39
Wed Jan 19 17:56:04 2022	1642604164	39	44	83	30
Wed Jan 19 17:56:03 2022	1642604163	53	30	83	25
Wed Jan 19 17:56:06 2022	1642604166	48	35	83	26
Wed Jan 19 17:56:06 2022	1642604166	14	69	83	44
Wed Jan 19 17:55:56 2022	1642604156	41	42	83	34
Wed Jan 19 17:56:00 2022	1642604160	40	43	83	34
Wed Jan 19 17:56:00 2022	1642604160	27	56	83	34
Wed Jan 19 17:56:06 2022	1642604166	1	82	83	67
Wed Jan 19 17:55:55 2022	1642604155	37	46	83	32
Wed Jan 19 17:56:01 2022	1642604161	41	42	83	33
Wed Jan 19 17:55:55 2022	1642604155	9	74	83	67
Wed Jan 19 17:56:00 2022	1642604160	27	56	83	53
Wed Jan 19 17:56:05 2022	1642604165	27	56	83	48
Wed Jan 19 17:56:03 2022	1642604163	29	54	83	41
Wed Jan 19 17:55:54 2022	1642604154	10	73	83	66
Wed Jan 19 17:55:53 2022	1642604153	47	36	83	30
Wed Jan 19 17:56:00 2022	1642604160	37	46	83	33
Wed Jan 19 17:56:05 2022	1642604165	9	75	83	51
Wed Jan 19 17:56:02 2022	1642604162	44	39	83	26
Wed Jan 19 17:56:02 2022	1642604162	31	52	83	26
Wed Jan 19 17:56:05 2022	1642604165	9	74	83	51
Wed Jan 19 17:56:00 2022	1642604160	31	52	83	19
Wed Jan 19 17:56:03 2022	1642604163	47	36	83	30
Wed Jan 19 17:56:00 2022	1642604160	40	43	83	34
Wed Jan 19 17:56:02 2022	1642604162	34	49	83	32
Wed Jan 19 17:56:02 2022	1642604162	31	52	83	25
Wed Jan 19 17:55:57 2022	1642604157	24	59	83	27
Wed Jan 19 17:56:04 2022	1642604164	11	72	83	29
Wed Jan 19 17:55:59 2022	1642604159	28	55	83	33
Wed Jan 19 17:55:55 2022	1642604155	0	83	83	52
Wed Jan 19 17:56:02 2022	1642604162	47	36	83	28
Wed Jan 19 17:55:59 2022	1642604159	44	39	83	35
Wed Jan 19 17:55:56 2022	1642604156	39	44	83	35
Wed Jan 19 17:56:00 2022	1642604160	40	43	83	33
Wed Jan 19 17:56:00 2022	1642604160	40	43	83	36
Wed Jan 19 17:56:00 2022	1642604160	40	43	83	34
Wed Jan 19 17:56:02 2022	1642604162	22	61	83	31
Wed Jan 19 17:55:54 2022	1642604154	30	53	83	47
Wed Jan 19 17:56:03 2022	1642604163	46	37	83	12
Wed Jan 19 17:56:03 2022	1642604163	47	36	83	31
Wed Jan 19 17:55:53 2022	1642604153	49	34	83	22
Wed Jan 19 17:55:56 2022	1642604156	31	52	83	36
Wed Jan 19 17:56:00 2022	1642604160	40	43	83	36
Wed Jan 19 17:56:02 2022	1642604162	44	39	83	23
Wed Jan 19 17:55:59 2022	1642604159	43	40	83	27
Wed Jan 19 17:56:00 2022	1642604160	45	38	83	35
Wed Jan 19 17:55:55 2022	1642604155	38	45	83	38
Wed Jan 19 17:55:59 2022	1642604159	36	47	83	22
Wed Jan 19 17:56:02 2022	1642604162	43	40	83	27
Wed Jan 19 17:56:05 2022	1642604165	37	46	83	32
Wed Jan 19 17:56:02 2022	1642604162	44	39	83	24
Wed Jan 19 17:56:05 2022	1642604165	49	34	83	28
Wed Jan 19 17:55:55 2022	1642604155	19	64	83	49
Wed Jan 19 17:55:57 2022	1642604157	36	47	83	13
Wed Jan 19 17:56:05 2022	1642604165	37	46	83	37
Wed Jan 19 17:55:57 2022	1642604157	45	38	83	36
Wed Jan 19 17:55:56 2022	1642604156	24	59	83	45
Wed Jan 19 17:56:05 2022	1642604165	43	40	83	23
Wed Jan 19 17:55:56 2022	1642604156	28	55	83	49
Wed Jan 19 17:56:06 2022	1642604166	48	36	83	26
Wed Jan 19 17:55:55 2022	1642604155	14	69	83	28
Wed Jan 19 17:56:00 2022	1642604160	28	55	83	34
Wed Jan 19 17:56:05 2022	1642604165	31	52	83	40
Wed Jan 19 17:55:55 2022	1642604155	6	77	83	57
Wed Jan 19 17:56:05 2022	1642604165	32	52	83	51
Wed Jan 19 17:56:06 2022	1642604166	53	30	83	21
Wed Jan 19 17:56:00 2022	1642604160	41	42	83	40
Wed Jan 19 17:56:06 2022	1642604166	11	72	83	45
Wed Jan 19 17:56:05 2022	1642604165	31	52	83	40
Wed Jan 19 17:56:05 2022	1642604165	32	52	83	39
Wed Jan 19 17:56:05 2022	1642604165	31	52	83	39
Wed Jan 19 17:55:54 2022	1642604154	31	53	83	48
Wed Jan 19 17:56:02 2022	1642604162	31	52	83	41
Wed Jan 19 17:55:53 2022	1642604153	22	61	83	43
Wed Jan 19 17:56:05 2022	1642604165	32	51	83	45
Wed Jan 19 17:56:05 2022	1642604165	26	57	83	52
Wed Jan 19 17:55:55 2022	1642604155	6	77	83	57
Wed Jan 19 17:56:02 2022	1642604162	43	41	83	35
Wed Jan 19 17:56:01 2022	1642604161	23	60	83	34
Wed Jan 19 17:55:59 2022	1642604159	49	34	83	30
Wed Jan 19 17:55:58 2022	1642604158	27	56	83	28
Wed Jan 19 17:55:53 2022	1642604153	44	39	83	30
Wed Jan 19 17:55:57 2022	1642604157	29	54	83	47
Wed Jan 19 17:56:00 2022	1642604160	25	58	83	24
Wed Jan 19 17:55:55 2022	1642604155	27	56	83	53
Wed Jan 19 17:55:59 2022	1642604159	27	56	83	33
Wed Jan 19 17:56:05 2022	1642604165	43	41	83	26
Wed Jan 19 17:56:05 2022	1642604165	55	28	83	25
Wed Jan 19 17:56:05 2022	1642604165	25	59	83	30
Wed Jan 19 17:55:54 2022	1642604154	49	34	83	25
Wed Jan 19 17:56:00 2022	1642604160	27	57	83	24
Wed Jan 19 17:56:00 2022	1642604160	45	38	83	35
Wed Jan 19 17:55:57 2022	1642604157	48	35	83	34
Wed Jan 19 17:55:57 2022	1642604157	27	57	83	46
Wed Jan 19 17:55:57 2022	1642604157	13	71	83	60
Wed Jan 19 17:56:05 2022	1642604165	30	53	83	41
Wed Jan 19 17:56:05 2022	1642604165	30	53	83	41
Wed Jan 19 17:55:57 2022	1642604157	19	64	83	31
Wed Jan 19 17:56:00 2022	1642604160	29	54	83	32
Wed Jan 19 17:55:55 2022	1642604155	37	47	83	33
Wed Jan 19 17:55:57 2022	1642604157	37	46	83	43
Wed Jan 19 17:55:53 2022	1642604153	37	46	83	40
Wed Jan 19 17:56:01 2022	1642604161	41	42	83	33
Wed Jan 19 17:55:54 2022	1642604154	50	33	83	25
Wed Jan 19 17:56:05 2022	1642604165	31	52	83	40
Wed Jan 19 17:56:05 2022	1642604165	30	54	83	42
Wed Jan 19 17:56:05 2022	1642604165	31	53	83	41
Wed Jan 19 17:55:52 2022	1642604152	54	29	83	19
Wed Jan 19 17:55:55 2022	1642604155	37	47	83	32
Wed Jan 19 17:56:00 2022	1642604160	32	52	83	37
Wed Jan 19 17:56:05 2022	1642604165	31	53	83	40
Wed Jan 19 17:56:05 2022	1642604165	32	51	83	50
Wed Jan 19 17:56:05 2022	1642604165	32	51	83	50
Wed Jan 19 17:56:06 2022	1642604166	38	46	83	30
Wed Jan 19 17:56:05 2022	1642604165	26	57	83	48
Wed Jan 19 17:56:00 2022	1642604160	40	44	83	34
Wed Jan 19 17:55:57 2022	1642604157	48	35	83	33
Wed Jan 19 17:56:05 2022	1642604165	38	45	83	29
Wed Jan 19 17:56:00 2022	1642604160	26	57	83	45
Wed Jan 19 17:55:57 2022	1642604157	24	59	83	27
Wed Jan 19 17:56:05 2022	1642604165	49	34	83	29
Wed Jan 19 17:55:55 2022	1642604155	14	69	83	28
Wed Jan 19 17:56:03 2022	1642604163	31	53	83	47
Wed Jan 19 17:55:59 2022	1642604159	49	35	83	30
Wed Jan 19 17:56:03 2022	1642604163	17	67	83	65
Wed Jan 19 17:55:57 2022	1642604157	48	35	83	33
Wed Jan 19 17:56:05 2022	1642604165	26	57	83	48
Wed Jan 19 17:56:01 2022	1642604161	26	57	83	49
Wed Jan 19 17:56:00 2022	1642604160	24	59	83	24
Wed Jan 19 17:56:00 2022	1642604160	26	57	83	45
Wed Jan 19 17:55:57 2022	1642604157	19	64	83	31
Wed Jan 19 17:56:00 2022	1642604160	33	50	83	33
Wed Jan 19 17:55:56 2022	1642604156	41	43	83	32
Wed Jan 19 17:55:57 2022	1642604157	45	38	83	36
Wed Jan 19 17:56:00 2022	1642604160	33	51	83	31
Wed Jan 19 17:56:05 2022	1642604165	56	27	83	26
Wed Jan 19 17:55:59 2022	1642604159	49	34	83	29
Wed Jan 19 17:56:00 2022	1642604160	40	44	83	34
Wed Jan 19 17:56:00 2022	1642604160	6	77	83	68
Wed Jan 19 17:56:02 2022	1642604162	44	39	83	25
Wed Jan 19 17:55:52 2022	1642604152	31	52	83	26
Wed Jan 19 17:55:58 2022	1642604158	27	56	83	43
Wed Jan 19 17:55:54 2022	1642604154	30	53	83	47
Wed Jan 19 17:55:56 2022	1642604156	4	79	84	57
Wed Jan 19 17:56:04 2022	1642604164	34	49	84	36
Wed Jan 19 17:55:57 2022	1642604157	48	36	84	34
Wed Jan 19 17:56:05 2022	1642604165	31	53	84	40
Wed Jan 19 17:56:02 2022	1642604162	22	61	84	39
Wed Jan 19 17:55:54 2022	1642604154	20	64	84	62
Wed Jan 19 17:56:02 2022	1642604162	23	60	84	39
Wed Jan 19 17:55:56 2022	1642604156	28	56	84	40
Wed Jan 19 17:56:04 2022	1642604164	39	44	84	30
Wed Jan 19 17:55:57 2022	1642604157	54	30	84	24
Wed Jan 19 17:55:53 2022	1642604153	38	46	84	40
Wed Jan 19 17:55:57 2022	1642604157	45	39	84	36
Wed Jan 19 17:55:53 2022	1642604153	23	60	84	33
Wed Jan 19 17:55:58 2022	1642604158	25	58	84	30
Wed Jan 19 17:55:55 2022	1642604155	14	69	84	28
Wed Jan 19 17:55:59 2022	1642604159	40	44	84	26
Wed Jan 19 17:55:52 2022	1642604152	39	45	84	30
Wed Jan 19 17:55:52 2022	1642604152	31	52	84	25
Wed Jan 19 17:55:57 2022	1642604157	38	46	84	43
Wed Jan 19 17:55:55 2022	1642604155	23	61	84	45
Wed Jan 19 17:56:05 2022	1642604165	49	35	84	29
Wed Jan 19 17:55:55 2022	1642604155	37	47	84	33
Wed Jan 19 17:55:56 2022	1642604156	36	47	84	32
Wed Jan 19 17:56:03 2022	1642604163	53	31	84	25
Wed Jan 19 17:56:01 2022	1642604161	41	42	84	32
Wed Jan 19 17:56:05 2022	1642604165	31	53	84	40
Wed Jan 19 17:55:53 2022	1642604153	49	35	84	22
Wed Jan 19 17:56:01 2022	1642604161	42	42	84	26
Wed Jan 19 17:56:00 2022	1642604160	40	44	84	34
Wed Jan 19 17:55:57 2022	1642604157	29	54	84	44
Wed Jan 19 17:55:52 2022	1642604152	37	47	84	36
Wed Jan 19 17:56:06 2022	1642604166	14	70	84	44
Wed Jan 19 17:56:04 2022	1642604164	11	73	84	29
Wed Jan 19 17:56:01 2022	1642604161	42	42	84	27
Wed Jan 19 17:55:52 2022	1642604152	31	53	84	24
Wed Jan 19 17:56:03 2022	1642604163	36	48	84	48
Wed Jan 19 17:56:06 2022	1642604166	25	59	84	50
Wed Jan 19 17:55:59 2022	1642604159	49	35	84	31
Wed Jan 19 17:55:55 2022	1642604155	19	65	84	49
Wed Jan 19 17:56:03 2022	1642604163	47	37	84	30
Wed Jan 19 17:55:59 2022	1642604159	31	52	84	34
Wed Jan 19 17:56:05 2022	1642604165	26	58	84	47
Wed Jan 19 17:55:57 2022	1642604157	27	57	84	28
Wed Jan 19 17:55:57 2022	1642604157	29	54	84	47
Wed Jan 19 17:56:01 2022	1642604161	41	42	84	28
Wed Jan 19 17:56:02 2022	1642604162	48	36	84	28
Wed Jan 19 17:56:05 2022	1642604165	27	57	84	48
Wed Jan 19 17:55:56 2022	1642604156	28	55	84	40
Wed Jan 19 17:55:55 2022	1642604155	35	49	84	36
Wed Jan 19 17:55:57 2022	1642604157	54	30	84	24
Wed Jan 19 17:56:03 2022	1642604163	27	57	84	40
Wed Jan 19 17:56:03 2022	1642604163	18	65	84	53
Wed Jan 19 17:56:01 2022	1642604161	42	42	84	30
Wed Jan 19 17:55:55 2022	1642604155	37	47	84	33
Wed Jan 19 17:55:55 2022	1642604155	34	49	84	37
Wed Jan 19 17:56:01 2022	1642604161	1	83	84	61
Wed Jan 19 17:55:58 2022	1642604158	27	57	84	28
Wed Jan 19 17:55:59 2022	1642604159	44	40	84	27
Wed Jan 19 17:56:01 2022	1642604161	42	42	84	30
Wed Jan 19 17:56:05 2022	1642604165	30	54	84	43
Wed Jan 19 17:56:06 2022	1642604166	38	45	84	30
Wed Jan 19 17:56:01 2022	1642604161	41	42	84	29
Wed Jan 19 17:56:01 2022	1642604161	42	42	84	27
Wed Jan 19 17:56:01 2022	1642604161	41	42	84	28
Wed Jan 19 17:56:05 2022	1642604165	37	47	84	37
Wed Jan 19 17:56:00 2022	1642604160	29	55	84	34
Wed Jan 19 17:56:05 2022	1642604165	57	27	84	26
Wed Jan 19 17:55:58 2022	1642604158	21	63	84	56
Wed Jan 19 17:55:59 2022	1642604159	38	46	84	44
Wed Jan 19 17:56:01 2022	1642604161	42	42	84	26
Wed Jan 19 17:55:59 2022	1642604159	38	46	84	32
Wed Jan 19 17:55:55 2022	1642604155	37	47	84	37
Wed Jan 19 17:56:02 2022	1642604162	27	57	84	44
Wed Jan 19 17:56:04 2022	1642604164	1	83	84	63
Wed Jan 19 17:56:01 2022	1642604161	42	42	84	25
Wed Jan 19 17:56:01 2022	1642604161	41	42	84	29
Wed Jan 19 17:56:01 2022	1642604161	42	42	84	27
Wed Jan 19 17:55:57 2022	1642604157	29	54	84	46
Wed Jan 19 17:55:55 2022	1642604155	37	47	84	45
Wed Jan 19 17:56:05 2022	1642604165	38	46	84	29
Wed Jan 19 17:56:00 2022	1642604160	37	47	84	33
Wed Jan 19 17:56:05 2022	1642604165	49	35	84	29
Wed Jan 19 17:56:01 2022	1642604161	24	60	84	46
Wed Jan 19 17:55:59 2022	1642604159	36	48	84	37
Wed Jan 19 17:56:05 2022	1642604165	56	28	84	25
Wed Jan 19 17:55:53 2022	1642604153	45	39	84	30
Wed Jan 19 17:55:55 2022	1642604155	40	44	84	28
Wed Jan 19 17:56:00 2022	1642604160	39	45	84	34
Wed Jan 19 17:55:59 2022	1642604159	30	54	84	42
Wed Jan 19 17:55:55 2022	1642604155	6	78	84	57
Wed Jan 19 17:56:03 2022	1642604163	48	36	84	31
Wed Jan 19 17:55:57 2022	1642604157	41	43	84	28
Wed Jan 19 17:55:55 2022	1642604155	34	49	84	36
Wed Jan 19 17:56:01 2022	1642604161	42	42	84	30
Wed Jan 19 17:55:56 2022	1642604156	43	40	84	24
Wed Jan 19 17:56:05 2022	1642604165	25	59	84	30
Wed Jan 19 17:56:02 2022	1642604162	35	49	84	32
Wed Jan 19 17:56:06 2022	1642604166	39	45	84	27
Wed Jan 19 17:55:55 2022	1642604155	34	49	84	37
Wed Jan 19 17:55:54 2022	1642604154	50	34	84	30
Wed Jan 19 17:55:56 2022	1642604156	39	44	84	35
Wed Jan 19 17:56:05 2022	1642604165	38	46	84	29
Wed Jan 19 17:56:03 2022	1642604163	30	53	84	47
Wed Jan 19 17:56:01 2022	1642604161	41	42	84	32
Wed Jan 19 17:55:52 2022	1642604152	31	53	84	22
Wed Jan 19 17:56:03 2022	1642604163	50	34	84	27
Wed Jan 19 17:55:59 2022	1642604159	48	35	84	31
Wed Jan 19 17:56:00 2022	1642604160	39	44	84	34
Wed Jan 19 17:55:59 2022	1642604159	50	34	84	29
Wed Jan 19 17:55:54 2022	1642604154	7	77	84	48
Wed Jan 19 17:56:05 2022	1642604165	49	35	84	26
Wed Jan 19 17:55:55 2022	1642604155	11	73	84	71
Wed Jan 19 17:55:57 2022	1642604157	37	47	84	13
Wed Jan 19 17:55:55 2022	1642604155	8	76	84	54
Wed Jan 19 17:56:02 2022	1642604162	37	47	84	29
Wed Jan 19 17:56:02 2022	1642604162	25	59	84	29
Wed Jan 19 17:55:56 2022	1642604156	40	44	84	34
Wed Jan 19 17:56:06 2022	1642604166	40	44	84	27
Wed Jan 19 17:55:57 2022	1642604157	45	39	84	36
Wed Jan 19 17:55:57 2022	1642604157	45	38	84	36
Wed Jan 19 17:55:56 2022	1642604156	40	44	84	33
Wed Jan 19 17:55:57 2022	1642604157	27	57	84	46
Wed Jan 19 17:55:56 2022	1642604156	41	43	84	32
Wed Jan 19 17:56:00 2022	1642604160	36	48	84	35
Wed Jan 19 17:55:57 2022	1642604157	29	55	84	35
Wed Jan 19 17:55:56 2022	1642604156	42	42	84	32
Wed Jan 19 17:56:05 2022	1642604165	49	35	84	30
Wed Jan 19 17:56:05 2022	1642604165	45	39	84	26
Wed Jan 19 17:55:55 2022	1642604155	27	57	84	53
Wed Jan 19 17:55:53 2022	1642604153	37	46	84	40
Wed Jan 19 17:56:05 2022	1642604165	30	54	84	43
Wed Jan 19 17:56:00 2022	1642604160	29	54	84	33
Wed Jan 19 17:55:54 2022	1642604154	5	79	84	62
Wed Jan 19 17:55:54 2022	1642604154	7	77	84	48
Wed Jan 19 17:56:05 2022	1642604165	30	54	84	43
Wed Jan 19 17:55:55 2022	1642604155	7	77	84	53
Wed Jan 19 17:56:02 2022	1642604162	31	53	84	41
Wed Jan 19 17:55:55 2022	1642604155	37	47	84	33
Wed Jan 19 17:56:03 2022	1642604163	47	37	84	31
Wed Jan 19 17:55:55 2022	1642604155	34	50	84	37
Wed Jan 19 17:55:59 2022	1642604159	36	48	84	44
Wed Jan 19 17:55:56 2022	1642604156	36	48	84	33
Wed Jan 19 17:56:04 2022	1642604164	11	73	84	29
Wed Jan 19 17:55:59 2022	1642604159	36	48	84	44
Wed Jan 19 17:56:04 2022	1642604164	34	50	84	36
Wed Jan 19 17:56:01 2022	1642604161	42	42	84	31
Wed Jan 19 17:55:55 2022	1642604155	37	47	84	33
Wed Jan 19 17:56:06 2022	1642604166	38	46	84	30
Wed Jan 19 17:56:00 2022	1642604160	24	60	84	24
Wed Jan 19 17:55:58 2022	1642604158	27	57	84	28
Wed Jan 19 17:55:56 2022	1642604156	16	68	84	63
Wed Jan 19 17:56:02 2022	1642604162	45	39	84	26
Wed Jan 19 17:56:00 2022	1642604160	27	57	84	46
Wed Jan 19 17:55:58 2022	1642604158	19	65	84	60
Wed Jan 19 17:55:54 2022	1642604154	50	34	84	30
Wed Jan 19 17:55:55 2022	1642604155	0	84	84	41
Wed Jan 19 17:55:58 2022	1642604158	57	27	84	21
Wed Jan 19 17:55:58 2022	1642604158	29	55	84	43
Wed Jan 19 17:56:00 2022	1642604160	54	30	84	28
Wed Jan 19 17:55:57 2022	1642604157	55	29	84	25
Wed Jan 19 17:55:57 2022	1642604157	24	60	84	27
Wed Jan 19 17:56:05 2022	1642604165	49	35	84	25
Wed Jan 19 17:56:06 2022	1642604166	25	59	84	51
Wed Jan 19 17:55:52 2022	1642604152	54	30	84	19
Wed Jan 19 17:55:57 2022	1642604157	49	35	84	25
Wed Jan 19 17:56:01 2022	1642604161	42	42	84	32
Wed Jan 19 17:56:05 2022	1642604165	27	57	84	46
Wed Jan 19 17:56:05 2022	1642604165	50	34	84	24
